,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
360,progreso,5,MX,1580357655,64,21.28,-89.67,73.4,6.93
361,college,90,US,1580357716,68,64.86,-147.8,-9.0,4.47
362,jacobabad,52,PK,1580357763,62,28.28,68.44,53.87,6.85
363,inhambane,20,MZ,1580357763,88,-23.86,35.38,69.8,8.23
364,namibe,100,AO,1580357533,79,-15.2,12.15,75.61,5.41
365,churapcha,0,RU,1580357764,84,62.0,132.43,-16.44,8.14
366,norman wells,75,CA,1580357764,67,65.28,-126.83,-22.0,8.05
367,clyde river,90,CA,1580357764,74,70.47,-68.59,-22.0,4.7
368,gamba,100,GA,1580357764,84,-2.65,10.0,78.75,1.88
369,aguimes,100,ES,1580357764,31,27.91,-15.45,70.0,5.82
370,brae,93,GB,1580357567,100,60.4,-1.35,42.8,1.12
371,lambarene,100,GA,1580357764,95,-0.7,10.24,75.13,1.63
372,gornopravdinsk,31,RU,1580357572,99,60.05,69.9,-21.46,2.77
373,mahajanga,20,MG,1580357765,94,-15.72,46.32,80.6,2.24
374,sofiyivka,41,UA,1580357765,78,48.05,33.87,32.0,17.9
375,atasu,100,KZ,1580357765,67,48.68,71.64,1.62,5.46
376,davenda,77,RU,1580357765,87,53.56,119.32,1.42,2.33
377,pevek,100,RU,1580357765,97,69.7,170.31,-18.47,6.91
378,imeni poliny osipenko,0,RU,1580357765,83,52.42,136.49,5.47,3.33
